cycle_id,scenario_id,scenario_cycle,scenario_name,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before_dataset,packet_size,event_type_dataset,priority_dataset,cm_priority,cm_event_type,cm_main_path,cm_sub_policy,cm_decision,cm_selected_interface,cm_outcome,cm_ack_success,cm_dtn_before,cm_dtn_after,cm_flush_triggered,cm_flush_interface,cm_flush_sent,cm_wifi_scan_done,cm_energy_proxy,runner_lora_ops,runner_wifi_ops,runner_ble_reliable_ops,runner_ble_adv_ops,runner_wifi_maint_ops,runner_total_radio_ops,expected_policy,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,match_interface,match_outcome,match_dtn_after
1,S5,3,Extreme wet; OK energy; deterministic cascade,94,Extreme_Wet,OK,0.33999999999999997,Yes,No,NA,No,NA,14,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_lora_tx,lora,success,1,14,14,0,,0,0,1.7,1,0,0,0,0,1,critical_environmental_full_cascade,LORA,Send,Delivered,None,14,1,1,1
2,S5,2,Extreme wet; OK energy; deterministic cascade,93,Extreme_Wet,OK,0.345,No,No,NA,Yes,Yes,13,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,13,13,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,13,1,1,1
3,S10,2,Scheduled WiFi maintenance gating,38,Normal,OK,0.895,Yes,Yes,Yes,No,NA,9,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,9,9,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,9,1,1,1
4,S1,10,Normal soil; OK energy; reliable LoRa,35,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
5,S7,6,LOW battery; noncritical soil; warning-store policy,39,Normal,LOW,0.75,NA,No,NA,No,NA,20,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,20,21,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,21,1,1,1
6,S6,1,Extreme soil event; LOW energy; LoRa-only emergency,94,Extreme_Wet,LOW,0.45,Yes,Yes,NA,Yes,NA,18,96,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_lora_only,lora,success,1,18,18,0,,0,0,1.7,1,0,0,0,0,1,low_energy_critical_lora_only,LORA,Send,Delivered,None,18,1,1,1
7,S1,2,Normal soil; OK energy; reliable LoRa,36,Normal,OK,0.94,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
8,S8,1,CRITICAL battery; store-only protection,38,Normal,CRITICAL,0.9,NA,No,NA,No,NA,20,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,20,21,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,21,1,1,1
9,S2,6,Normal soil; OK energy; poor LoRa history,40,Normal,OK,0.29,No,No,NA,No,NA,5,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,5,6,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,6,1,1,1
10,S8,9,CRITICAL battery; store-only protection,38,Normal,CRITICAL,0.8200000000000001,NA,No,NA,No,NA,28,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,28,29,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,29,1,1,1
